Case_ID	Project	B2M	HLA-C	HLA-A	HLA-B
11BR017	Breast_Cancer	1690.5104	1574.2933	861.4448	1635.3751
02OV046	Ovarian_Cancer	4672.3715	1118.3983	1127.3009	1428.0536
11BR023	Breast_Cancer	4057.9232	2125.4988	2032.874	4454.1277
20OV005	Ovarian_Cancer	681.4301	132.8242	97.4797	118.1143
11BR059	Breast_Cancer	965.3616	554.2739	269.9516	582.7835
11OV002	Ovarian_Cancer	3632.7612	924.2613	682.2719	1608.5557
13BR009	Breast_Cancer	1143.578	1110.3264	574.4933	988.021
11BR050	Breast_Cancer	3094.8716	899.176	788.0511	1310.8127
18BR006	Breast_Cancer	1385.0189	766.3104	493.9515	684.8049
01BR043	Breast_Cancer	2136.6668	1004.6735	1205.5797	1142.1973
18BR007	Breast_Cancer	1331.704	934.8267	460.1567	769.7451
26OV011	Ovarian_Cancer	1293.1718	692.677	562.402	761.6221
11BR043	Breast_Cancer	1991.8567	1143.476	820.0348	1211.2413
01BR031	Breast_Cancer	1405.8111	1147.8517	1158.0215	1788.2381
02OV045	Ovarian_Cancer	2985.1672	2160.8317	1319.6915	2146.0683
05BR052	Breast_Cancer	1480.3226	329.2741	629.3229	509.4942
04OV040	Ovarian_Cancer	804.8606	540.5128	436.089	800.846
04OV021	Ovarian_Cancer	2475.3856	962.1099	667.0466	1271.7614
02OV029	Ovarian_Cancer	1230.2213	770.8263	548.89	1136.8733
04OV041	Ovarian_Cancer	1359.4207	286.5379	382.9916	716.6634
04OV012	Ovarian_Cancer	1407.8233	840.0915	740.9379	983.035
01BR042	Breast_Cancer	2334.1833	1130.5865	1835.6962	1956.8892
02OV032	Ovarian_Cancer	3186.5121	1202.4958	865.1869	1749.8134
17OV030	Ovarian_Cancer	4555.825	2309.8176	1870.5001	2936.6877
11BR030	Breast_Cancer	3062.4297	1947.4956	1045.6993	1936.9684
05BR045	Breast_Cancer	509.361	962.1121	808.2688	998.2681
11BR028	Breast_Cancer	530.1879	433.63	155.3663	261.033
01BR030	Breast_Cancer	2024.2484	1778.1425	1031.1695	1836.6342
18BR010	Breast_Cancer	1502.989	762.6394	483.6138	740.9677
11BR053	Breast_Cancer	1523.0733	527.7316	286.9452	399.9468
04OV036	Ovarian_Cancer	1515.5941	736.9929	617.4843	1052.2315
02OV040	Ovarian_Cancer	2656.4973	609.053	1013.7446	1229.6362
11BR032	Breast_Cancer	2275.9334	929.5804	407.1866	973.2449
05BR009	Breast_Cancer	1294.4974	709.6273	364.8739	740.6573
11BR010	Breast_Cancer	3181.7903	1875.4484	1501.3425	2569.4227
02OV006	Ovarian_Cancer	3147.8735	829.2461	727.1527	1095.3083
11BR058	Breast_Cancer	1324.6381	689.6117	384.4582	676.6756
01BR025	Breast_Cancer	949.6264	544.5468	150.1377	232.4173
18BR003	Breast_Cancer	2317.6372	1319.6414	773.685	1222.0815
11BR018	Breast_Cancer	1941.632	1147.7427	691.8846	1234.475
11BR022	Breast_Cancer	1428.2338	785.6141	434.5255	937.9258
04OV050	Ovarian_Cancer	651.5231	207.2933	248.2746	242.5551
04OV053	Ovarian_Cancer	1377.9617	524.1484	511.5598	934.5494
09BR004	Breast_Cancer	267.9503	182.8606	217.7464	261.5496
11BR042	Breast_Cancer	1622.3199	779.2019	405.9185	699.4087
17OV029	Ovarian_Cancer	1459.5835	725.1155	657.6558	1210.2952
04OV004	Ovarian_Cancer	984.7732	1069.3992	1349.5719	2019.2614
04OV057	Ovarian_Cancer	2959.93	382.5244	826.7113	625.1555
01BR023	Breast_Cancer	374.861	275.8069	111.4397	239.9781
17OV013	Ovarian_Cancer	812.665	633.198	387.8129	435.3942
11BR024	Breast_Cancer	3148.1445	2513.3722	1760.9441	3451.8661
01OV017	Ovarian_Cancer	3189.3235	1214.0858	1139.5597	1385.9964
17OV015	Ovarian_Cancer	1104.7027	497.2109	501.866	650.3087
11BR006	Breast_Cancer	1219.0513	873.2609	324.7551	586.8602
01BR009	Breast_Cancer	1611.5499	627.5856	616.5786	896.0389
04OV008	Ovarian_Cancer	1226.0223	1112.4948	869.2203	1179.3181
16BR012	Breast_Cancer	1003.4108	1058.121	427.9278	502.221
03BR004	Breast_Cancer	766.6218	523.484	184.0418	477.7235
11BR011	Breast_Cancer	2407.6508	1107.402	757.5527	1495.6971
05BR026	Breast_Cancer	1686.9575	1069.2079	722.1181	1172.7998
11BR040	Breast_Cancer	1264.0829	1081.9104	373.0975	925.2477
18BR004	Breast_Cancer	882.872	961.5806	154.2415	445.7903
18BR017	Breast_Cancer	1291.7082	704.8168	436.0292	602.5727
11BR047	Breast_Cancer	1636.4129	1202.3845	574.8728	955.1907
26OV008	Ovarian_Cancer	670.5857	207.5465	287.9029	259.5605
02OV023	Ovarian_Cancer	1373.1804	571.8344	434.0432	871.5699
11BR003	Breast_Cancer	3763.585	1982.6467	1730.5338	4784.3832
20BR008	Breast_Cancer	1340.909	242.922	177.7126	364.7174
04OV024	Ovarian_Cancer	1021.874	1066.7319	665.4099	660.9783
11BR069	Breast_Cancer	918.4202	457.1519	199.6547	571.2753
05BR055	Breast_Cancer	712.4296	370.8434	413.8455	623.3644
11BR014	Breast_Cancer	1752.7081	1073.3508	778.3802	1132.2565
01OV010	Ovarian_Cancer	6500.5216	1598.8449	1808.3911	3216.1726
18BR016	Breast_Cancer	1148.6693	1290.8225	363.7229	793.2007
17OV039	Ovarian_Cancer	1245.8342	288.9855	275.8933	284.6659
03BR010	Breast_Cancer	859.3197	765.9382	227.5601	534.4715
11BR015	Breast_Cancer	484.8378	524.5181	144.5065	399.6972
17OV033	Ovarian_Cancer	864.9394	634.6275	348.1488	414.9565
11BR016	Breast_Cancer	1169.5206	910.5694	814.8298	1267.1
01OV008	Ovarian_Cancer	1025.0632	701.4864	730.8915	618.6726
01BR033	Breast_Cancer	1334.0603	514.2474	401.6294	757.4308
05BR031	Breast_Cancer	1626.5257	996.1409	487.6486	790.268
11BR073	Breast_Cancer	1608.9839	728.919	431.8981	944.5477
01OV039	Ovarian_Cancer	2597.2597	3096.275	2493.4429	5484.6169
04OV013	Ovarian_Cancer	549.6674	412.1768	605.2021	786.03
04OV017	Ovarian_Cancer	289.9322	215.7888	206.9406	241.4266
26OV013	Ovarian_Cancer	2063.6056	442.2553	485.4452	799.9154
26OV002	Ovarian_Cancer	636.6649	304.7145	279.8208	201.6065
03BR006	Breast_Cancer	427.175	397.6319	466.764	689.5963
01BR017	Breast_Cancer	1869.023	710.783	699.7172	1057.5867
17OV027	Ovarian_Cancer	2912.7229	794.7187	666.4459	1011.06
13OV003	Ovarian_Cancer	2008.9479	277.7716	355.8632	596.3637
02OV036	Ovarian_Cancer	1891.9634	1043.5811	650.4707	1924.8289
18BR009	Breast_Cancer	1587.227	902.4819	607.9691	754.6092
01OV019	Ovarian_Cancer	1651.1045	412.4921	696.0669	591.0044
11BR031	Breast_Cancer	2330.5324	1468.8156	892.1912	1407.2458
17OV014	Ovarian_Cancer	1767.2707	388.4527	428.6593	918.9994
04OV005	Ovarian_Cancer	1127.311	482.3338	370.0491	525.2593
11BR012	Breast_Cancer	1305.8476	679.1259	734.3165	850.1444
22BR006	Breast_Cancer	1061.4614	487.883	374.2593	543.322
17OV040	Ovarian_Cancer	1957.1872	725.4857	708.3465	1118.3241
11BR074	Breast_Cancer	1687.5109	1112.4984	722.4739	1023.3774
14BR008	Breast_Cancer	1372.2371	1152.6013	713.1432	932.489
01BR018	Breast_Cancer	2585.7531	1393.8943	1659.2551	2480.5518
09BR001	Breast_Cancer	131.9727	134.1985	181.1743	180.1765
11BR060	Breast_Cancer	2452.578	1330.8518	1354.4822	1497.9043
22OV001	Ovarian_Cancer	3418.554	963.5692	809.2725	1635.662
01BR026	Breast_Cancer	1927.9355	739.9112	953.2038	1181.9587
06BR005	Breast_Cancer	1862.077	762.7026	857.8645	1275.583
13OV004	Ovarian_Cancer	3358.9038	995.1651	1000.1689	1999.7689
11BR080	Breast_Cancer	3686.3734	2688.7118	1429.44	3292.9672
04OV055	Ovarian_Cancer	1992.944	512.1176	853.3572	1070.9397
11BR075	Breast_Cancer	1276.6299	385.5926	316.8249	415.4401
04OV031	Ovarian_Cancer	1250.4682	476.1593	421.2847	613.2235
02OV035	Ovarian_Cancer	2352.062	1402.3943	731.2572	1659.5714
11BR051	Breast_Cancer	2049.332	1421.9999	718.0359	837.7218
14BR014	Breast_Cancer	926.2415	745.7944	337.8863	654.5153
01BR010	Breast_Cancer	581.3551	497.3669	214.4431	317.9559
04OV018	Ovarian_Cancer	1242.8759	646.0238	444.7479	857.6399
09BR007	Breast_Cancer	1194.224	880.5265	368.1731	680.7132
11BR055	Breast_Cancer	1413.899	993.9817	591.7759	813.0914
05BR005	Breast_Cancer	949.6494	418.7984	411.257	689.4695
03BR012	Breast_Cancer	334.7707	241.8038	124.355	164.6882
05BR003	Breast_Cancer	1643.3735	699.9272	615.429	889.3838
04OV054	Ovarian_Cancer	868.3034	751.3626	755.6461	774.8242
04OV001	Ovarian_Cancer	918.0943	888.8743	643.4489	881.4018
01OV018	Ovarian_Cancer	2625.8416	740.9961	826.6558	1455.7741
09BR005	Breast_Cancer	1806.4017	858.6509	735.4525	558.4874
11BR004	Breast_Cancer	5445.4621	3151.5117	2119.6465	2573.2196
17OV017	Ovarian_Cancer	1015.398	297.4071	213.2047	474.7564
04OV063	Ovarian_Cancer	879.7016	753.0134	758.1154	2182.1105
01OV023	Ovarian_Cancer	1310.3133	534.1301	856.2817	1153.8543
03BR013	Breast_Cancer	1378.0175	1050.2898	549.9975	920.5505
11OV009	Ovarian_Cancer	298.546	115.974	125.4726	129.22
01BR032	Breast_Cancer	1384.7857	1811.3083	1028.8358	1043.039
05BR004	Breast_Cancer	1084.9997	568.7261	319.4941	504.2877
15BR003	Breast_Cancer	1223.7858	832.6359	440.241	956.3265
11BR044	Breast_Cancer	1752.4839	1226.4617	719.6764	1374.8192
04OV048	Ovarian_Cancer	1827.5597	1185.513	587.5854	1172.177
01OV002	Ovarian_Cancer	5656.04	3837.4567	1968.2921	3361.9619
05BR044	Breast_Cancer	896.4601	610.1176	301.5721	634.0216
01OV041	Ovarian_Cancer	1041.0831	968.5289	552.3624	917.9918
01OV047	Ovarian_Cancer	3685.2676	955.7307	1072.2036	1215.2597
02OV041	Ovarian_Cancer	3894.5363	800.5073	733.464	1042.3284
17OV001	Ovarian_Cancer	1554.9516	1691.3939	1004.3552	2002.3877
02OV008	Ovarian_Cancer	830.6728	716.8787	347.8444	533.383
04OV023	Ovarian_Cancer	3950.2673	1011.9036	1019.1693	1781.622
11BR009	Breast_Cancer	1460.4147	433.9296	391.8977	642.8667
05BR043	Breast_Cancer	2171.8669	1001.4286	1169.0919	1379.1846
01BR020	Breast_Cancer	1357.2573	663.5982	516.2739	800.5374
01BR008	Breast_Cancer	2338.8617	2239.1833	1678.3014	3256.2389
01BR044	Breast_Cancer	1001.1303	747.6323	1417.7125	1632.6402
01OV045	Ovarian_Cancer	2146.2938	441.046	877.6371	1100.188
21BR002	Breast_Cancer	1250.6098	1592.4118	1521.1704	1703.005
04OV051	Ovarian_Cancer	2908.8935	1778.6549	1253.6936	2099.2166
06BR003	Breast_Cancer	1294.3723	640.4452	468.4121	676.879
20BR007	Breast_Cancer	1962.2646	285.3061	266.2636	638.0615
01BR040	Breast_Cancer	2478.3272	2471.2065	2274.6464	3478.507
03BR005	Breast_Cancer	1140.873	889.6251	528.1527	965.8112
11BR019	Breast_Cancer	1396.4424	876.2242	1042.5421	1136.1971
11BR020	Breast_Cancer	2744.1609	2079.864	1995.4702	2552.5143
02OV022	Ovarian_Cancer	1825.3935	875.4396	730.0978	1728.5528
04OV033	Ovarian_Cancer	2267.9891	636.1226	385.1668	574.8709
05BR042	Breast_Cancer	943.8132	507.6014	594.5444	879.3991
01OV026	Ovarian_Cancer	1926.3028	950.1398	650.2597	984.2953
17OV019	Ovarian_Cancer	2497.1401	558.3518	842.2221	664.5848
06BR006	Breast_Cancer	843.4954	338.2196	256.5534	450.6668
02OV042	Ovarian_Cancer	3352.7469	1325.9341	1817.8904	2350.2954
11BR027	Breast_Cancer	1473.144	813.3666	705.6699	709.6741
01BR015	Breast_Cancer	1347.1413	1399.5415	1168.3414	2010.3771
20BR002	Breast_Cancer	636.7528	541.6123	206.26	405.8347
05BR051	Breast_Cancer	1390.0318	737.9438	568.5995	1019.9731
11BR013	Breast_Cancer	660.8133	543.0295	213.1163	298.9621
11BR049	Breast_Cancer	3435.1714	1832.6854	568.6836	2343.5212
01BR001	Breast_Cancer	411.4446	298.8679	481.1181	536.0251
17OV011	Ovarian_Cancer	319.9337	206.5941	216.9037	289.0045
18BR019	Breast_Cancer	1827.9347	1582.003	632.3118	1274.8017
26OV009	Ovarian_Cancer	230.9502	393.557	358.8137	195.5368
03BR002	Breast_Cancer	1032.6767	580.2015	262.3944	427.4974
18OV001	Ovarian_Cancer	419.3473	25.3954	47.6831	33.5247
01OV013	Ovarian_Cancer	4390.6761	746.2089	1011.6642	1625.8068
02OV005	Ovarian_Cancer	1549.4452	899.7558	618.8745	963.5542
17OV034	Ovarian_Cancer	3719.7298	758.0153	513.2998	1024.2736
05BR038	Breast_Cancer	1897.4057	1309.3135	439.4548	1471.6212
20BR006	Breast_Cancer	1180.9222	219.3198	165.7456	383.8707
01OV007	Ovarian_Cancer	3339.8206	1012.4854	852.0728	1456.645
21BR010	Breast_Cancer	1162.5432	432.1463	206.3989	399.2407
20BR001	Breast_Cancer	5890.2404	2180.014	2100.0686	2897.9047
06BR014	Breast_Cancer	871.2981	1141.5297	365.9831	562.3557
01BR027	Breast_Cancer	886.5863	411.4234	298.352	657.0991
11BR025	Breast_Cancer	507.2257	305.5729	165.1709	225.8673
01OV046	Ovarian_Cancer	1038.3804	453.322	449.5357	673.6374
11BR036	Breast_Cancer	441.0445	358.5844	153.8661	185.8701
