gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent
WNK1,3,0,3,0.0,28,4,24,14.285714285714285
FAT1,4,1,3,25.0,27,0,27,0.0
MAP3K1,11,0,11,0.0,20,3,17,15.0
TPR,3,0,3,0.0,28,3,25,10.714285714285714
TRPS1,3,1,2,33.33333333333333,28,1,27,3.571428571428571
TNIK,3,0,3,0.0,28,5,23,17.857142857142858
KMT2D,6,0,6,0.0,24,2,22,8.333333333333332
ACACA,4,0,4,0.0,26,1,25,3.8461538461538463
EP400,6,0,6,0.0,24,1,23,4.166666666666666
XRN1,3,0,3,0.0,27,2,25,7.4074074074074066
PEAK1,4,1,3,25.0,26,2,24,7.6923076923076925
MYOF,3,0,3,0.0,27,0,27,0.0
UBR1,3,0,3,0.0,27,4,23,14.814814814814811
CMYA5,6,2,4,33.33333333333333,24,1,23,4.166666666666666
HECTD1,5,0,5,0.0,25,2,23,8.0
SZT2,4,0,4,0.0,26,2,24,7.6923076923076925
DIAPH2,3,0,3,0.0,27,3,24,11.11111111111111
TRIP12,4,0,4,0.0,25,0,25,0.0
KAT6A,3,0,3,0.0,26,2,24,7.6923076923076925
ADAMTS12,3,1,2,33.33333333333333,26,1,25,3.8461538461538463
ZBTB41,3,0,3,0.0,26,2,24,7.6923076923076925
ZMYND8,3,0,3,0.0,26,3,23,11.538461538461538
UBR2,3,0,3,0.0,26,0,26,0.0
ALMS1,5,1,4,20.0,24,1,23,4.166666666666666
DNAJC13,5,0,5,0.0,24,3,21,12.5
KMT2A,4,0,4,0.0,24,0,24,0.0
ARID1A,5,0,5,0.0,23,0,23,0.0
SMG1,3,0,3,0.0,25,1,24,4.0
VCAN,5,0,5,0.0,23,3,20,13.043478260869565
BAZ2B,3,0,3,0.0,25,4,21,16.0
HIVEP1,3,1,2,33.33333333333333,24,0,24,0.0
ABCA1,4,0,4,0.0,23,4,19,17.391304347826086
BRWD3,4,1,3,25.0,23,0,23,0.0
RUNX1,5,0,5,0.0,22,4,18,18.181818181818183
TNRC6A,3,0,3,0.0,24,0,24,0.0
LEPR,3,0,3,0.0,24,0,24,0.0
ERAP1,4,0,4,0.0,23,3,20,13.043478260869565
MTOR,3,0,3,0.0,24,1,23,4.166666666666666
CHD9,3,0,3,0.0,24,3,21,12.5
CNST,3,0,3,0.0,24,1,23,4.166666666666666
DOCK7,3,0,3,0.0,24,3,21,12.5
HERC2,4,0,4,0.0,23,1,22,4.3478260869565215
NOTCH2,4,0,4,0.0,23,0,23,0.0
DOCK8,3,1,2,33.33333333333333,23,3,20,13.043478260869565
PCNT,4,0,4,0.0,22,1,21,4.545454545454546
DOCK6,7,0,7,0.0,19,3,16,15.789473684210526
DOCK10,3,0,3,0.0,23,0,23,0.0
DHX8,3,0,3,0.0,23,3,20,13.043478260869565
CEP192,3,0,3,0.0,23,3,20,13.043478260869565
ATR,3,0,3,0.0,23,3,20,13.043478260869565
SPTBN1,3,0,3,0.0,22,0,22,0.0
TNC,4,0,4,0.0,21,2,19,9.523809523809524
CEP250,4,0,4,0.0,21,0,21,0.0
NUP205,4,0,4,0.0,21,2,19,9.523809523809524
ABCA4,3,1,2,33.33333333333333,22,4,18,18.181818181818183
SLC4A2,5,0,5,0.0,20,0,20,0.0
TCF20,3,0,3,0.0,22,1,21,4.545454545454546
ANKHD1,4,0,4,0.0,21,4,17,19.047619047619047
COL4A1,4,0,4,0.0,21,2,19,9.523809523809524
ATN1,3,0,3,0.0,22,1,21,4.545454545454546
TRAPPC9,4,0,4,0.0,21,1,20,4.761904761904762
ATG2B,3,0,3,0.0,22,3,19,13.636363636363637
TRANK1,4,0,4,0.0,21,1,20,4.761904761904762
NIPBL,8,0,8,0.0,17,1,16,5.88235294117647
CENPF,6,0,6,0.0,19,2,17,10.526315789473683
ZZEF1,4,0,4,0.0,21,1,20,4.761904761904762
CKAP5,3,0,3,0.0,21,4,17,19.047619047619047
TEP1,5,0,5,0.0,19,0,19,0.0
IFT140,4,0,4,0.0,20,0,20,0.0
LRRFIP1,3,0,3,0.0,21,2,19,9.523809523809524
MYH9,5,0,5,0.0,19,2,17,10.526315789473683
MEGF8,3,1,2,33.33333333333333,21,2,19,9.523809523809524
ZEB2,3,0,3,0.0,21,3,18,14.285714285714285
DOCK5,6,0,6,0.0,18,2,16,11.11111111111111
DENND4C,3,0,3,0.0,21,0,21,0.0
NCOR2,5,1,4,20.0,18,0,18,0.0
ARHGEF11,3,0,3,0.0,20,0,20,0.0
ARHGEF12,3,0,3,0.0,20,0,20,0.0
LAMA4,3,0,3,0.0,20,1,19,5.0
TJP1,4,0,4,0.0,19,3,16,15.789473684210526
DOCK1,4,0,4,0.0,19,0,19,0.0
RIF1,4,0,4,0.0,19,0,19,0.0
TNK2,3,0,3,0.0,20,1,19,5.0
BTAF1,4,0,4,0.0,19,1,18,5.263157894736842
JAG1,4,0,4,0.0,19,3,16,15.789473684210526
CADPS2,3,1,2,33.33333333333333,19,2,17,10.526315789473683
VAV3,3,0,3,0.0,19,1,18,5.263157894736842
AUTS2,4,0,4,0.0,18,2,16,11.11111111111111
PKD1,4,1,3,25.0,18,3,15,16.666666666666664
DIP2A,3,0,3,0.0,19,2,17,10.526315789473683
ARID2,5,0,5,0.0,17,3,14,17.647058823529413
WDR7,3,1,2,33.33333333333333,19,0,19,0.0
EIF2AK4,3,0,3,0.0,19,3,16,15.789473684210526
ABCC1,3,0,3,0.0,19,1,18,5.263157894736842
CROCC,6,0,6,0.0,16,1,15,6.25
MON2,5,0,5,0.0,16,0,16,0.0
GNAS,5,0,5,0.0,16,0,16,0.0
STAB1,5,0,5,0.0,16,0,16,0.0
PDCD11,3,0,3,0.0,18,1,17,5.555555555555555
RECQL5,3,0,3,0.0,18,0,18,0.0
SCRIB,3,0,3,0.0,18,0,18,0.0
SETX,3,0,3,0.0,18,1,17,5.555555555555555
MAP4K4,4,0,4,0.0,17,1,16,5.88235294117647
IFT172,3,0,3,0.0,18,2,16,11.11111111111111
SNAPC4,4,0,4,0.0,17,1,16,5.88235294117647
TRIOBP,6,0,6,0.0,15,1,14,6.666666666666667
UBAP2,3,0,3,0.0,17,1,16,5.88235294117647
COL18A1,5,0,5,0.0,15,2,13,13.333333333333334
PDGFRA,3,1,2,33.33333333333333,17,0,17,0.0
DOCK2,3,1,2,33.33333333333333,17,3,14,17.647058823529413
RPGRIP1L,6,0,6,0.0,14,2,12,14.285714285714285
ERCC6,3,1,2,33.33333333333333,17,2,15,11.76470588235294
KIF13A,3,0,3,0.0,17,3,14,17.647058823529413
THOC2,4,0,4,0.0,16,1,15,6.25
SHPRH,3,0,3,0.0,17,3,14,17.647058823529413
VPS8,3,0,3,0.0,17,0,17,0.0
TRPM2,3,0,3,0.0,17,1,16,5.88235294117647
ZNF638,6,0,6,0.0,14,0,14,0.0
PIK3C2A,3,0,3,0.0,17,1,16,5.88235294117647
PALB2,3,0,3,0.0,17,1,16,5.88235294117647
COL7A1,3,0,3,0.0,17,1,16,5.88235294117647
CSF1R,3,0,3,0.0,17,3,14,17.647058823529413
EPHB4,4,0,4,0.0,15,2,13,13.333333333333334
NCOA1,4,0,4,0.0,15,2,13,13.333333333333334
GATA3,8,0,8,0.0,11,0,11,0.0
SMARCA1,3,1,2,33.33333333333333,16,0,16,0.0
SSH2,5,1,4,20.0,14,1,13,7.142857142857142
CD163L1,3,0,3,0.0,16,0,16,0.0
LAMB1,3,0,3,0.0,16,0,16,0.0
EIF4G1,3,0,3,0.0,16,1,15,6.25
F8,3,0,3,0.0,16,2,14,12.5
EHMT1,3,0,3,0.0,16,3,13,18.75
CAMTA1,4,0,4,0.0,15,1,14,6.666666666666667
XRN2,4,0,4,0.0,15,0,15,0.0
GOLGB1,3,0,3,0.0,16,3,13,18.75
CELSR2,5,0,5,0.0,14,0,14,0.0
PLK3,3,0,3,0.0,16,1,15,6.25
SMARCA2,3,0,3,0.0,16,0,16,0.0
SIPA1L3,6,0,6,0.0,13,0,13,0.0
DDR1,3,0,3,0.0,16,0,16,0.0
NID1,3,1,2,33.33333333333333,16,1,15,6.25
MYO9B,4,0,4,0.0,14,2,12,14.285714285714285
ZNF106,4,0,4,0.0,14,0,14,0.0
KIF13B,4,1,3,25.0,14,0,14,0.0
INSR,4,1,3,25.0,14,1,13,7.142857142857142
ITGAM,5,0,5,0.0,13,2,11,15.384615384615383
MLLT10,3,0,3,0.0,15,0,15,0.0
PIK3C2B,3,0,3,0.0,15,0,15,0.0
SPTAN1,4,0,4,0.0,14,2,12,14.285714285714285
SBNO2,4,0,4,0.0,14,1,13,7.142857142857142
FLNB,3,0,3,0.0,15,2,13,13.333333333333334
CABIN1,3,0,3,0.0,15,0,15,0.0
ZFC3H1,3,0,3,0.0,15,2,13,13.333333333333334
PLS1,3,0,3,0.0,15,2,13,13.333333333333334
RUNX2,4,0,4,0.0,14,2,12,14.285714285714285
SETD1A,3,0,3,0.0,15,0,15,0.0
TAF1,3,0,3,0.0,15,0,15,0.0
STXBP5,3,0,3,0.0,15,2,13,13.333333333333334
NEO1,3,1,2,33.33333333333333,15,1,14,6.666666666666667
INO80,3,0,3,0.0,15,0,15,0.0
ANKRD30A,3,0,3,0.0,14,2,12,14.285714285714285
DCHS1,3,1,2,33.33333333333333,14,2,12,14.285714285714285
LTBP4,4,1,3,25.0,13,0,13,0.0
SCUBE2,4,1,3,25.0,13,0,13,0.0
ADAMTS10,4,1,3,25.0,13,1,12,7.6923076923076925
ZMYM3,3,0,3,0.0,14,1,13,7.142857142857142
COL5A3,3,1,2,33.33333333333333,14,0,14,0.0
BRD1,3,0,3,0.0,14,0,14,0.0
USP16,3,0,3,0.0,14,1,13,7.142857142857142
NSD1,3,0,3,0.0,14,2,12,14.285714285714285
MARK4,3,0,3,0.0,14,2,12,14.285714285714285
GOLGA4,3,0,3,0.0,14,2,12,14.285714285714285
DCTN1,3,0,3,0.0,14,0,14,0.0
DAPK1,3,0,3,0.0,14,0,14,0.0
TANGO6,3,1,2,33.33333333333333,13,0,13,0.0
HELZ2,5,2,3,40.0,11,0,11,0.0
FBRSL1,3,0,3,0.0,13,1,12,7.6923076923076925
CCDC138,3,1,2,33.33333333333333,13,1,12,7.6923076923076925
PTPRK,5,1,4,20.0,11,0,11,0.0
COBLL1,4,1,3,25.0,12,1,11,8.333333333333332
R3HDM2,4,0,4,0.0,12,0,12,0.0
EPPK1,3,1,2,33.33333333333333,13,0,13,0.0
SLC25A13,3,0,3,0.0,13,0,13,0.0
ARHGEF17,4,0,4,0.0,12,1,11,8.333333333333332
KMT2B,4,0,4,0.0,12,0,12,0.0
TAOK1,3,0,3,0.0,13,0,13,0.0
SETD1B,6,0,6,0.0,10,0,10,0.0
CSPP1,3,0,3,0.0,13,0,13,0.0
PTPRS,3,0,3,0.0,13,0,13,0.0
POGZ,3,0,3,0.0,13,2,11,15.384615384615383
ARHGAP39,3,0,3,0.0,13,0,13,0.0
CPSF1,4,0,4,0.0,12,0,12,0.0
ZFP64,3,0,3,0.0,13,1,12,7.6923076923076925
FLT1,5,1,4,20.0,11,1,10,9.090909090909092
SIGLEC1,4,0,4,0.0,12,2,10,16.666666666666664
GON4L,3,0,3,0.0,13,1,12,7.6923076923076925
CPAMD8,4,1,3,25.0,12,0,12,0.0
ZNF185,4,0,4,0.0,11,0,11,0.0
C6orf132,6,0,6,0.0,9,0,9,0.0
MEGF6,3,0,3,0.0,12,0,12,0.0
RTEL1,4,0,4,0.0,11,1,10,9.090909090909092
TBCE,3,0,3,0.0,12,1,11,8.333333333333332
NUP160,3,0,3,0.0,12,1,11,8.333333333333332
PRRC2B,3,0,3,0.0,12,0,12,0.0
PARP9,4,0,4,0.0,11,0,11,0.0
SAMD12,3,1,2,33.33333333333333,12,0,12,0.0
FAM178B,3,1,2,33.33333333333333,12,1,11,8.333333333333332
SH2D3C,3,1,2,33.33333333333333,12,0,12,0.0
DOT1L,5,0,5,0.0,10,0,10,0.0
ERBB3,3,0,3,0.0,12,0,12,0.0
TONSL,4,0,4,0.0,11,0,11,0.0
FOXA1,6,1,5,16.666666666666664,9,0,9,0.0
DENND4B,3,0,3,0.0,12,0,12,0.0
PRSS36,4,1,3,25.0,11,1,10,9.090909090909092
HBS1L,3,0,3,0.0,12,2,10,16.666666666666664
ANKMY1,3,0,3,0.0,12,0,12,0.0
CTTN,3,0,3,0.0,12,0,12,0.0
SIPA1L1,4,0,4,0.0,11,0,11,0.0
DLG5,4,0,4,0.0,11,0,11,0.0
TNPO3,3,0,3,0.0,12,0,12,0.0
KAZN,3,0,3,0.0,12,0,12,0.0
ZFP28,3,1,2,33.33333333333333,11,1,10,9.090909090909092
TIE1,3,1,2,33.33333333333333,11,0,11,0.0
ANKRD11,6,0,6,0.0,8,0,8,0.0
SENP7,3,0,3,0.0,11,1,10,9.090909090909092
SH3TC1,3,0,3,0.0,11,0,11,0.0
SLIT2,3,1,2,33.33333333333333,11,1,10,9.090909090909092
PCDHGB3,3,0,3,0.0,11,1,10,9.090909090909092
TAP2,3,0,3,0.0,11,1,10,9.090909090909092
EXT1,3,0,3,0.0,11,1,10,9.090909090909092
DEPDC5,3,1,2,33.33333333333333,11,0,11,0.0
KDM5C,5,0,5,0.0,9,0,9,0.0
ARHGAP24,3,1,2,33.33333333333333,11,1,10,9.090909090909092
HACE1,3,1,2,33.33333333333333,11,1,10,9.090909090909092
ARHGAP35,5,0,5,0.0,9,0,9,0.0
EHBP1L1,4,0,4,0.0,10,1,9,10.0
ZMYM6,3,0,3,0.0,11,1,10,9.090909090909092
POLR1A,5,0,5,0.0,9,1,8,11.11111111111111
NUMA1,5,0,5,0.0,9,0,9,0.0
IKBKE,3,0,3,0.0,11,0,11,0.0
AKNA,5,1,4,20.0,9,1,8,11.11111111111111
AMBRA1,3,1,2,33.33333333333333,11,1,10,9.090909090909092
CILP,4,1,3,25.0,10,1,9,10.0
RERE,4,0,4,0.0,10,1,9,10.0
MORC2,3,0,3,0.0,11,0,11,0.0
KANK4,3,1,2,33.33333333333333,10,0,10,0.0
CCDC88B,3,1,2,33.33333333333333,10,1,9,10.0
ACTN4,4,0,4,0.0,9,0,9,0.0
AP2A2,4,0,4,0.0,9,0,9,0.0
GLI3,3,1,2,33.33333333333333,10,0,10,0.0
RPS6KA3,3,1,2,33.33333333333333,10,1,9,10.0
SCAF11,3,0,3,0.0,10,1,9,10.0
SON,3,0,3,0.0,10,0,10,0.0
SCMH1,3,0,3,0.0,10,0,10,0.0
NES,4,0,4,0.0,9,0,9,0.0
ROCK1,6,0,6,0.0,7,0,7,0.0
TOR1AIP1,4,0,4,0.0,9,0,9,0.0
FNIP2,3,0,3,0.0,10,1,9,10.0
KDR,3,1,2,33.33333333333333,10,1,9,10.0
TTLL4,3,0,3,0.0,10,0,10,0.0
LRRK1,3,0,3,0.0,10,1,9,10.0
HIPK3,4,1,3,25.0,9,0,9,0.0
DCAF13,3,0,3,0.0,10,1,9,10.0
BCOR,3,0,3,0.0,10,0,10,0.0
SEC16A,4,0,4,0.0,9,0,9,0.0
GRB7,3,0,3,0.0,10,0,10,0.0
CUL4B,5,0,5,0.0,8,0,8,0.0
CEP120,5,0,5,0.0,8,0,8,0.0
KIF11,3,0,3,0.0,10,1,9,10.0
PCDHGA3,3,0,3,0.0,10,1,9,10.0
TEX2,3,0,3,0.0,10,1,9,10.0
BCL9L,3,0,3,0.0,10,0,10,0.0
EHBP1,4,0,4,0.0,9,0,9,0.0
FAM120C,3,0,3,0.0,9,0,9,0.0
RSAD1,3,0,3,0.0,9,0,9,0.0
PELP1,4,0,4,0.0,8,0,8,0.0
SUZ12,3,0,3,0.0,9,0,9,0.0
WDTC1,4,0,4,0.0,8,0,8,0.0
EVC,3,0,3,0.0,9,1,8,11.11111111111111
B4GALNT4,4,0,4,0.0,8,0,8,0.0
RB1CC1,3,0,3,0.0,9,0,9,0.0
CTNNB1,3,0,3,0.0,9,1,8,11.11111111111111
DDX50,3,0,3,0.0,9,0,9,0.0
SSRP1,4,0,4,0.0,8,0,8,0.0
GOLGA3,3,0,3,0.0,9,0,9,0.0
ILF3,5,0,5,0.0,7,1,6,14.285714285714285
CASD1,3,0,3,0.0,9,0,9,0.0
ERBB2,3,0,3,0.0,9,0,9,0.0
TMEM214,3,0,3,0.0,9,0,9,0.0
MRC2,3,0,3,0.0,9,0,9,0.0
SP3,4,0,4,0.0,8,0,8,0.0
LRIG1,3,0,3,0.0,9,0,9,0.0
COG1,4,0,4,0.0,8,1,7,12.5
WDR26,3,0,3,0.0,9,0,9,0.0
ITPK1,3,0,3,0.0,9,1,8,11.11111111111111
SYMPK,3,0,3,0.0,9,1,8,11.11111111111111
MRPS27,3,0,3,0.0,9,0,9,0.0
ADAM19,4,0,4,0.0,8,0,8,0.0
NID2,3,0,3,0.0,9,0,9,0.0
TBX15,3,1,2,33.33333333333333,8,0,8,0.0
DDX42,6,0,6,0.0,5,0,5,0.0
ADNP,3,0,3,0.0,8,1,7,12.5
PLCH2,3,1,2,33.33333333333333,8,1,7,12.5
CDK12,5,0,5,0.0,6,0,6,0.0
ZNF496,4,0,4,0.0,7,0,7,0.0
GALNS,3,0,3,0.0,8,0,8,0.0
GPRASP2,3,0,3,0.0,8,0,8,0.0
ATP8B3,3,1,2,33.33333333333333,8,0,8,0.0
KIFC2,3,0,3,0.0,8,0,8,0.0
ALPK3,3,1,2,33.33333333333333,8,0,8,0.0
IFI16,3,0,3,0.0,8,1,7,12.5
TTC14,5,0,5,0.0,6,1,5,16.666666666666664
USP21,3,0,3,0.0,8,0,8,0.0
KIAA0319L,3,0,3,0.0,8,0,8,0.0
KIAA0232,3,0,3,0.0,8,1,7,12.5
LCP2,3,0,3,0.0,8,1,7,12.5
C10orf88,4,0,4,0.0,7,1,6,14.285714285714285
AGO2,4,0,4,0.0,7,1,6,14.285714285714285
PHF12,3,0,3,0.0,8,1,7,12.5
SRF,3,0,3,0.0,8,1,7,12.5
STAG2,3,0,3,0.0,8,0,8,0.0
TBC1D1,3,0,3,0.0,8,0,8,0.0
IWS1,4,0,4,0.0,7,0,7,0.0
MTMR11,3,0,3,0.0,8,0,8,0.0
PLEKHM2,3,0,3,0.0,8,0,8,0.0
NEURL1B,4,0,4,0.0,7,0,7,0.0
PHLDB2,4,0,4,0.0,7,1,6,14.285714285714285
QRICH2,5,2,3,40.0,5,0,5,0.0
MYBBP1A,4,0,4,0.0,6,1,5,16.666666666666664
SAMSN1,3,1,2,33.33333333333333,7,1,6,14.285714285714285
CIC,3,0,3,0.0,7,0,7,0.0
CHST15,3,0,3,0.0,7,1,6,14.285714285714285
CHM,3,0,3,0.0,7,1,6,14.285714285714285
SAMD9,3,0,3,0.0,7,1,6,14.285714285714285
ASAP2,3,0,3,0.0,7,0,7,0.0
TFDP1,4,0,4,0.0,6,0,6,0.0
MAPK15,3,0,3,0.0,7,1,6,14.285714285714285
WIPI2,3,0,3,0.0,7,1,6,14.285714285714285
AGO1,3,0,3,0.0,7,0,7,0.0
TRIM24,3,0,3,0.0,7,0,7,0.0
NMD3,3,0,3,0.0,7,0,7,0.0
RNF31,4,0,4,0.0,6,0,6,0.0
MEN1,4,0,4,0.0,6,0,6,0.0
MCM6,3,0,3,0.0,7,0,7,0.0
PIGG,3,0,3,0.0,7,0,7,0.0
EVPL,4,0,4,0.0,6,0,6,0.0
NOL6,3,0,3,0.0,7,0,7,0.0
PCF11,3,0,3,0.0,7,1,6,14.285714285714285
SULF2,3,0,3,0.0,7,1,6,14.285714285714285
STT3B,3,0,3,0.0,7,1,6,14.285714285714285
TDRD5,3,0,3,0.0,7,1,6,14.285714285714285
TAOK2,3,0,3,0.0,7,1,6,14.285714285714285
SF3B1,3,0,3,0.0,7,0,7,0.0
PPL,3,0,3,0.0,7,0,7,0.0
PLXND1,3,0,3,0.0,7,0,7,0.0
CTC1,3,0,3,0.0,7,1,6,14.285714285714285
CRIM1,3,0,3,0.0,7,0,7,0.0
FOXJ3,3,0,3,0.0,7,0,7,0.0
ZNF219,3,1,2,33.33333333333333,7,0,7,0.0
FAM120A,3,0,3,0.0,7,1,6,14.285714285714285
DYM,4,0,4,0.0,6,0,6,0.0
TAB3,4,0,4,0.0,6,0,6,0.0
KAT2B,3,0,3,0.0,7,1,6,14.285714285714285
IRS2,3,0,3,0.0,6,1,5,16.666666666666664
GTSE1,3,0,3,0.0,6,0,6,0.0
ZNF574,3,0,3,0.0,6,1,5,16.666666666666664
DENND5A,3,0,3,0.0,6,0,6,0.0
AGRN,3,0,3,0.0,6,0,6,0.0
HPS4,3,0,3,0.0,6,0,6,0.0
FEM1C,3,0,3,0.0,6,0,6,0.0
PTPRU,3,1,2,33.33333333333333,6,0,6,0.0
MAP1S,3,0,3,0.0,6,1,5,16.666666666666664
LILRB4,4,0,4,0.0,5,0,5,0.0
NOTCH1,5,0,5,0.0,4,0,4,0.0
PHF2,3,0,3,0.0,6,1,5,16.666666666666664
THUMPD3,3,0,3,0.0,6,1,5,16.666666666666664
PRRG1,3,1,2,33.33333333333333,6,0,6,0.0
CHML,3,0,3,0.0,6,0,6,0.0
RNF8,3,1,2,33.33333333333333,6,0,6,0.0
ITGB6,3,1,2,33.33333333333333,6,0,6,0.0
EDEM3,3,0,3,0.0,6,1,5,16.666666666666664
COL28A1,3,1,2,33.33333333333333,6,0,6,0.0
AFF4,3,0,3,0.0,6,0,6,0.0
TRO,3,1,2,33.33333333333333,5,0,5,0.0
AKT1,5,0,5,0.0,3,0,3,0.0
MAPK8,3,0,3,0.0,5,0,5,0.0
TRMT44,3,1,2,33.33333333333333,5,0,5,0.0
CARD6,3,1,2,33.33333333333333,5,0,5,0.0
IGHMBP2,3,0,3,0.0,5,0,5,0.0
AMH,3,1,2,33.33333333333333,5,0,5,0.0
JMJD6,3,0,3,0.0,5,0,5,0.0
CACTIN,4,0,4,0.0,4,0,4,0.0
ATXN1,3,0,3,0.0,5,0,5,0.0
ZNF592,3,0,3,0.0,5,0,5,0.0
DGKQ,4,0,4,0.0,4,0,4,0.0
ACE,3,0,3,0.0,5,0,5,0.0
THRA,3,1,2,33.33333333333333,5,0,5,0.0
PKD2,3,0,3,0.0,5,0,5,0.0
ZNF862,4,0,4,0.0,4,0,4,0.0
GAA,3,0,3,0.0,5,0,5,0.0
RBM15,4,0,4,0.0,4,0,4,0.0
PIAS3,3,0,3,0.0,5,0,5,0.0
PJA1,3,0,3,0.0,5,0,5,0.0
KANSL1,4,0,4,0.0,4,0,4,0.0
GBP1,3,0,3,0.0,4,0,4,0.0
FAM83B,3,1,2,33.33333333333333,4,0,4,0.0
GCDH,3,0,3,0.0,4,0,4,0.0
FLT3LG,3,0,3,0.0,4,0,4,0.0
GTF3C5,3,0,3,0.0,4,0,4,0.0
CPZ,3,1,2,33.33333333333333,4,0,4,0.0
ISG20L2,3,0,3,0.0,4,0,4,0.0
E2F6,3,0,3,0.0,4,0,4,0.0
ATXN1L,4,0,4,0.0,3,0,3,0.0
MCL1,3,0,3,0.0,4,0,4,0.0
MAPKAPK2,3,0,3,0.0,4,0,4,0.0
RB1,3,0,3,0.0,4,0,4,0.0
UNKL,3,1,2,33.33333333333333,4,0,4,0.0
NUFIP2,4,0,4,0.0,3,0,3,0.0
REXO1,3,0,3,0.0,4,0,4,0.0
ELN,3,1,2,33.33333333333333,4,0,4,0.0
CHD8,3,0,3,0.0,4,0,4,0.0
PPIP5K1,3,0,3,0.0,4,0,4,0.0
SEMA4C,3,0,3,0.0,4,0,4,0.0
ADORA3,4,0,4,0.0,3,0,3,0.0
WDR81,3,0,3,0.0,4,0,4,0.0
TRAPPC12,3,0,3,0.0,4,0,4,0.0
ZNF746,3,0,3,0.0,4,0,4,0.0
EMC3,3,0,3,0.0,4,0,4,0.0
