gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent,Mean_Pct,Diff,Total_Muts
PPIP5K1,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
SEMA4C,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
ADORA3,4,0,4,0.0,3,0,3,0.0,0.0,0.0,7
WDR81,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
TRAPPC12,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
ZNF746,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
EMC3,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
SOX9,4,0,4,0.0,3,0,3,0.0,0.0,0.0,7
UFL1,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
PRKAR2B,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
CDKN2A,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
GPS2,4,0,4,0.0,2,0,2,0.0,0.0,0.0,6
PTCD3,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
SBF1,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
ZNF350,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
DUS3L,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
THRAP3,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
MEF2A,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
TLR6,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
SPTLC1,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
ETV3,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
BRPF3,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
SSH1,4,0,4,0.0,2,0,2,0.0,0.0,0.0,6
ITPKC,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
JMJD8,3,0,3,0.0,3,0,3,0.0,0.0,0.0,6
PTOV1,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
DNAAF2,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
LDLRAD3,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
RAI1,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
SELPLG,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
CCDC120,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
KLHL5,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
GIMAP1,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
ABCG1,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
CD93,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
NUP62,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
PLXNB2,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
SSH3,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
ITGB5,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
TP53I13,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
TRIM14,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
JAG2,3,0,3,0.0,2,0,2,0.0,0.0,0.0,5
RRAGC,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
MLLT6,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
PDXDC1,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
SLAIN2,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
MAP2K7,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
CDR2L,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
C5AR1,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
INPP1,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
IP6K1,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
ZNF813,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
ZNF513,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
FLOT1,3,0,3,0.0,1,0,1,0.0,0.0,0.0,4
VPS13D,3,0,3,0.0,47,1,46,2.127659574468085,1.0638297872340425,2.127659574468085,50
MDN1,4,0,4,0.0,41,1,40,2.4390243902439024,1.2195121951219512,2.4390243902439024,45
USP34,3,0,3,0.0,39,1,38,2.564102564102564,1.282051282051282,2.564102564102564,42
BIRC6,6,0,6,0.0,34,1,33,2.941176470588235,1.4705882352941175,2.941176470588235,40
NBAS,3,0,3,0.0,34,1,33,2.941176470588235,1.4705882352941175,2.941176470588235,37
SRCAP,5,0,5,0.0,31,1,30,3.225806451612903,1.6129032258064515,3.225806451612903,36
HTT,4,0,4,0.0,30,1,29,3.333333333333333,1.6666666666666665,3.333333333333333,34
CNOT1,3,0,3,0.0,30,1,29,3.333333333333333,1.6666666666666665,3.333333333333333,33
TRIO,6,0,6,0.0,28,1,27,3.571428571428571,1.7857142857142856,3.571428571428571,34
LAMA3,5,0,5,0.0,28,1,27,3.571428571428571,1.7857142857142856,3.571428571428571,33
RNF213,8,0,8,0.0,27,1,26,3.7037037037037033,1.8518518518518516,3.7037037037037033,35
AHNAK,12,0,12,0.0,26,1,25,3.8461538461538463,1.9230769230769231,3.8461538461538463,38
ACACA,4,0,4,0.0,26,1,25,3.8461538461538463,1.9230769230769231,3.8461538461538463,30
VPS13C,6,0,6,0.0,50,2,48,4.0,2.0,4.0,56
SMG1,3,0,3,0.0,25,1,24,4.0,2.0,4.0,28
EP400,6,0,6,0.0,24,1,23,4.166666666666666,2.083333333333333,4.166666666666666,30
MTOR,3,0,3,0.0,24,1,23,4.166666666666666,2.083333333333333,4.166666666666666,27
CNST,3,0,3,0.0,24,1,23,4.166666666666666,2.083333333333333,4.166666666666666,27
HERC2,4,0,4,0.0,23,1,22,4.3478260869565215,2.1739130434782608,4.3478260869565215,27
PCNT,4,0,4,0.0,22,1,21,4.545454545454546,2.272727272727273,4.545454545454546,26
TCF20,3,0,3,0.0,22,1,21,4.545454545454546,2.272727272727273,4.545454545454546,25
ATN1,3,0,3,0.0,22,1,21,4.545454545454546,2.272727272727273,4.545454545454546,25
TRAPPC9,4,0,4,0.0,21,1,20,4.761904761904762,2.380952380952381,4.761904761904762,25
TRANK1,4,0,4,0.0,21,1,20,4.761904761904762,2.380952380952381,4.761904761904762,25
ZZEF1,4,0,4,0.0,21,1,20,4.761904761904762,2.380952380952381,4.761904761904762,25
LAMA4,3,0,3,0.0,20,1,19,5.0,2.5,5.0,23
TNK2,3,0,3,0.0,20,1,19,5.0,2.5,5.0,23
DYNC1H1,4,0,4,0.0,39,2,37,5.128205128205128,2.564102564102564,5.128205128205128,43
BTAF1,4,0,4,0.0,19,1,18,5.263157894736842,2.631578947368421,5.263157894736842,23
VAV3,3,0,3,0.0,19,1,18,5.263157894736842,2.631578947368421,5.263157894736842,22
ABCC1,3,0,3,0.0,19,1,18,5.263157894736842,2.631578947368421,5.263157894736842,22
MYCBP2,3,0,3,0.0,54,3,51,5.555555555555555,2.7777777777777777,5.555555555555555,57
PDCD11,3,0,3,0.0,18,1,17,5.555555555555555,2.7777777777777777,5.555555555555555,21
SETX,3,0,3,0.0,18,1,17,5.555555555555555,2.7777777777777777,5.555555555555555,21
UBR4,7,0,7,0.0,52,3,49,5.769230769230769,2.8846153846153846,5.769230769230769,59
PIK3CA,40,0,40,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,57
AHCTF1,4,0,4,0.0,34,2,32,5.88235294117647,2.941176470588235,5.88235294117647,38
NIPBL,8,0,8,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,25
MAP4K4,4,0,4,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,21
SNAPC4,4,0,4,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,21
UBAP2,3,0,3,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,20
TRPM2,3,0,3,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,20
PIK3C2A,3,0,3,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,20
PALB2,3,0,3,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,20
COL7A1,3,0,3,0.0,17,1,16,5.88235294117647,2.941176470588235,5.88235294117647,20
CROCC,6,0,6,0.0,16,1,15,6.25,3.125,6.25,22
THOC2,4,0,4,0.0,16,1,15,6.25,3.125,6.25,20
EIF4G1,3,0,3,0.0,16,1,15,6.25,3.125,6.25,19
PLK3,3,0,3,0.0,16,1,15,6.25,3.125,6.25,19
SPEN,8,0,8,0.0,30,2,28,6.666666666666667,3.3333333333333335,6.666666666666667,38
TRIOBP,6,0,6,0.0,15,1,14,6.666666666666667,3.3333333333333335,6.666666666666667,21
CAMTA1,4,0,4,0.0,15,1,14,6.666666666666667,3.3333333333333335,6.666666666666667,19
HERC1,11,0,11,0.0,43,3,40,6.976744186046512,3.488372093023256,6.976744186046512,54
PLEC,5,0,5,0.0,43,3,40,6.976744186046512,3.488372093023256,6.976744186046512,48
LAMA2,4,0,4,0.0,42,3,39,7.142857142857142,3.571428571428571,7.142857142857142,46
SBNO2,4,0,4,0.0,14,1,13,7.142857142857142,3.571428571428571,7.142857142857142,18
ZMYM3,3,0,3,0.0,14,1,13,7.142857142857142,3.571428571428571,7.142857142857142,17
USP16,3,0,3,0.0,14,1,13,7.142857142857142,3.571428571428571,7.142857142857142,17
XRN1,3,0,3,0.0,27,2,25,7.4074074074074066,3.7037037037037033,7.4074074074074066,30
SZT2,4,0,4,0.0,26,2,24,7.6923076923076925,3.8461538461538463,7.6923076923076925,30
