Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Silenced
SLC6A17,0,0,0,0,3,0,0,0,0,3
BMX,0,0,0,0,3,0,0,0,0,3
CLIP2,0,0,0,0,2,1,0,0,0,3
CLTCL1,0,0,0,0,3,0,0,0,0,3
NTNG2,0,0,0,0,3,0,0,0,0,3
NWD1,0,0,0,0,3,0,0,0,0,3
NYAP1,0,0,0,0,3,0,0,0,0,3
CHSY3,0,0,0,0,2,1,0,0,0,3
OTOF,0,0,0,0,3,0,0,0,0,3
OTX1,0,0,0,0,3,0,0,0,0,3
CHRNB2,0,0,0,0,3,0,0,0,0,3
PALD1,0,0,0,0,3,0,0,0,0,3
PAPPA,0,0,0,0,3,0,0,0,0,3
PAPPA2,0,0,0,0,3,0,0,0,0,3
CHD5,0,0,0,0,3,0,0,0,0,3
SHROOM2,0,0,0,0,2,1,0,0,0,3
SKIDA1,0,0,0,0,3,0,0,0,0,3
PCDH10,0,0,0,0,3,0,0,0,0,3
PCDH11X,0,0,0,0,3,0,0,0,0,3
PCDH9,0,0,0,0,3,0,0,0,0,3
PCDHB12,0,0,0,0,3,0,0,0,0,3
PCDHB13,0,0,0,0,3,0,0,0,0,3
CELSR3,0,0,0,0,3,0,0,0,0,3
PCDHB14,0,0,0,0,3,0,0,0,0,3
PCDHB15,0,0,0,0,3,0,0,0,0,3
TTC28,0,0,0,0,3,0,0,0,0,3
TUBAL3,0,0,0,0,3,0,0,0,0,3
UNC13A,0,0,0,0,3,0,0,0,0,3
PCSK5,0,0,0,0,2,1,0,0,0,3
PDE1C,0,0,0,0,2,0,0,1,0,3
PDE3A,0,0,0,0,2,1,0,0,0,3
PDE3B,0,0,0,0,3,0,0,0,0,3
SEMA3D,0,0,0,0,2,1,0,0,0,3
SEMA5B,0,0,0,0,2,0,0,1,0,3
C1orf95,0,0,0,0,2,1,0,0,0,3
SH3RF3,0,0,0,0,3,0,0,0,0,3
SHANK1,0,0,0,0,3,0,0,0,0,3
PEG3,0,0,0,0,2,1,0,0,0,3
PITPNM3,0,0,0,0,3,0,0,0,0,3
PIWIL1,0,0,0,0,1,1,0,0,1,3
PLAG1,0,0,0,0,3,0,0,0,0,3
PLB1,0,0,0,0,3,0,0,0,0,3
PLCB1,0,0,0,0,3,0,0,0,0,3
CCIN,0,0,0,0,3,0,0,0,0,3
CCNB3,0,0,0,0,3,0,0,0,0,3
POU5F1B,0,0,0,0,3,0,0,0,0,3
CCDC136,0,0,0,0,2,1,0,0,0,3
CCDC158,0,0,1,0,2,0,0,0,0,3
PRDM6,1,0,0,0,1,0,0,1,0,3
PREX2,0,0,0,0,2,1,0,0,0,3
C3orf20,0,0,0,0,3,0,0,0,0,3
SCN4A,0,0,0,0,3,0,0,0,0,3
SCN5A,0,0,0,0,3,0,0,0,0,3
SCN7A,1,0,0,0,2,0,0,0,0,3
SCN9A,0,0,0,0,2,1,0,0,0,3
SCUBE3,0,0,0,0,3,0,0,0,0,3
TRPC4,0,0,0,0,3,0,0,0,0,3
TRPC6,0,0,0,0,3,0,0,0,0,3
TRPM3,0,0,0,0,3,0,0,0,0,3
ANGPT4,0,0,0,0,3,0,0,0,0,3
ANKFN1,0,0,0,0,3,0,0,0,0,3
PRR7,0,1,0,0,2,0,0,0,0,3
PTCH1,0,0,0,0,3,0,0,0,0,3
PTCH2,0,0,0,0,3,0,0,0,0,3
PTCHD2,0,0,0,0,3,0,0,0,0,3
PXDNL,0,0,0,0,2,0,0,1,0,3
TNXB,0,0,0,0,3,0,0,0,0,3
ANKRD31,0,0,0,0,3,0,0,0,0,3
ANKRD33B,0,0,0,0,3,0,0,0,0,3
ANKRD35,0,0,0,0,2,1,0,0,0,3
ANO5,1,0,0,0,2,0,0,0,0,3
PZP,0,0,0,0,3,0,0,0,0,3
RAG1,0,0,0,0,3,0,0,0,0,3
RET,0,0,0,0,3,0,0,0,0,3
CACNA1A,0,0,0,0,3,0,0,0,0,3
CACNA1G,0,0,0,0,3,0,0,0,0,3
CACNA2D1,0,0,0,0,3,0,0,0,0,3
RHBG,0,0,0,0,3,0,0,0,0,3
RIMKLA,0,0,0,0,3,0,0,0,0,3
