Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Expressed
SLC4A2,0,0,0,0,4,1,0,0,0,5
DST,0,0,0,0,5,0,0,0,0,5
COL4A5,0,0,0,0,5,0,0,0,0,5
BAZ1A,0,0,0,0,3,0,0,2,0,5
SHROOM3,1,0,0,0,4,0,0,0,0,5
TRRAP,0,0,0,0,5,0,0,0,0,5
ARHGAP35,0,0,0,0,5,0,0,0,0,5
ILF3,0,0,0,0,5,0,0,0,0,5
TTC14,0,0,0,0,4,1,0,0,0,5
CDK12,0,1,0,0,4,0,0,0,0,5
COL12A1,0,0,0,0,5,0,0,0,0,5
CEP120,0,0,0,0,5,0,0,0,0,5
MED23,0,0,0,0,5,0,0,0,0,5
GPR98,0,0,0,0,5,0,0,0,0,5
DOT1L,0,0,0,0,5,0,0,0,0,5
TEP1,0,0,0,0,5,0,0,0,0,5
DOPEY1,0,0,0,0,5,0,0,0,0,5
ITGAM,0,0,0,0,3,0,0,2,0,5
GNAS,0,0,0,0,5,0,0,0,0,5
OBSCN,0,0,0,0,5,0,0,0,0,5
PLEC,0,0,0,0,5,0,0,0,0,5
DNAH14,0,0,0,0,5,0,0,0,0,5
NOTCH1,2,0,0,0,3,0,0,0,0,5
CUL4B,0,0,0,0,4,1,0,0,0,5
LZTR1,0,0,0,0,5,0,0,0,0,5
ZNF585A,0,0,0,1,4,0,0,0,0,5
ALMS1,0,0,0,0,2,0,0,2,0,4
ARHGAP25,0,0,0,0,4,0,0,0,0,4
AUTS2,0,0,0,0,4,0,0,0,0,4
DOCK1,0,0,0,0,4,0,0,0,0,4
SP3,0,0,0,0,2,1,0,1,0,4
PCNT,0,0,0,0,4,0,0,0,0,4
SOX9,0,0,0,0,4,0,0,0,0,4
CBFB,1,0,0,0,1,0,0,2,0,4
R3HDM2,0,0,1,0,3,0,0,0,0,4
ZNF185,0,0,0,0,3,1,0,0,0,4
GPR124,0,0,0,0,4,0,0,0,0,4
UNC13B,0,0,0,0,4,0,0,0,0,4
KIAA1429,0,0,0,0,4,0,0,0,0,4
UGGT1,0,0,0,0,3,1,0,0,0,4
PCNX,0,0,0,0,4,0,0,0,0,4
TJP1,0,0,0,0,3,1,0,0,0,4
NBPF1,0,0,0,0,3,0,0,1,0,4
BTAF1,0,0,0,0,4,0,0,0,0,4
MYBBP1A,0,1,0,0,3,0,0,0,0,4
PCNXL2,0,0,0,0,3,0,0,1,0,4
RC3H1,0,0,0,0,4,0,0,0,0,4
VPS13B,0,0,0,0,4,0,0,0,0,4
DDX26B,0,0,0,0,4,0,0,0,0,4
NCOR2,0,0,0,0,4,0,0,0,0,4
ATXN1L,1,0,0,0,3,0,0,0,0,4
CLTC,0,0,0,0,4,0,0,0,0,4
HUWE1,0,0,0,0,3,0,0,0,1,4
PLEKHG4B,0,0,0,0,4,0,0,0,0,4
IRS1,0,0,0,0,4,0,0,0,0,4
EHBP1L1,2,0,0,0,2,0,0,0,0,4
UTRN,0,0,0,0,4,0,0,0,0,4
EHBP1,0,0,0,0,4,0,0,0,0,4
SEC23B,0,0,0,0,4,0,0,0,0,4
HTT,0,1,0,0,2,1,0,0,0,4
MDN1,0,0,0,0,4,0,0,0,0,4
RBM15,1,0,0,0,3,0,0,0,0,4
C10orf88,0,0,0,0,4,0,0,0,0,4
SEC16A,0,0,0,0,4,0,0,0,0,4
ARHGEF17,0,0,0,0,4,0,0,0,0,4
NCOA1,0,0,0,0,4,0,0,0,0,4
DYM,0,0,1,0,2,0,0,1,0,4
SNAPC4,0,0,0,0,3,0,0,1,0,4
LRP2,0,0,0,0,4,0,0,0,0,4
CAMTA1,0,0,0,0,4,0,0,0,0,4
DYNC1H1,0,0,0,0,4,0,0,0,0,4
TFDP1,1,0,0,0,3,0,0,0,0,4
SIPA1L1,1,0,0,0,3,0,0,0,0,4
MGA,0,0,0,0,3,0,0,1,0,4
THOC2,0,0,0,0,3,0,0,1,0,4
SMC6,0,0,0,0,4,0,0,0,0,4
SIGLEC1,0,0,0,0,2,0,1,1,0,4
SMG8,0,0,0,0,4,0,0,0,0,4
TRIP12,0,0,0,0,3,1,0,0,0,4
EPHB4,0,0,0,0,3,1,0,0,0,4
LRRC15,0,0,0,0,4,0,0,0,0,4
NCOA5,0,0,0,0,3,1,0,0,0,4
PARP12,0,0,1,0,2,0,0,1,0,4
PARP9,0,0,0,0,3,1,0,0,0,4
CEP250,0,0,0,0,4,0,0,0,0,4
TOR1AIP1,0,0,0,0,2,1,0,1,0,4
ERAP1,0,0,0,0,3,1,0,0,0,4
KIAA0947,0,0,0,0,3,1,0,0,0,4
AP2A2,0,0,0,0,3,1,0,0,0,4
TRANK1,0,0,0,0,3,0,0,1,0,4
GPS2,2,0,0,0,2,0,0,0,0,4
ECE2,1,0,0,0,3,0,0,0,0,4
COG1,0,0,0,0,3,1,0,0,0,4
TRAPPC9,0,0,0,0,4,0,0,0,0,4
PTPRK,0,0,0,0,3,1,0,0,0,4
MEN1,1,0,0,0,2,1,0,0,0,4
DOPEY2,0,0,0,0,4,0,0,0,0,4
MUC16,2,0,0,0,2,0,0,0,0,4
ACACA,1,0,0,0,2,0,0,1,0,4
ANKHD1,0,0,0,0,2,1,0,1,0,4
MAP4K4,0,0,0,0,3,1,0,0,0,4
ZNF496,0,0,0,0,4,0,0,0,0,4
CPSF1,0,0,1,0,3,0,0,0,0,4
B4GALNT4,0,0,0,0,4,0,0,0,0,4
SSH1,0,0,0,0,4,0,0,0,0,4
DMXL2,0,0,0,0,3,0,0,1,0,4
LAMB2,0,0,0,0,4,0,0,0,0,4
IWS1,0,0,0,0,4,0,0,0,0,4
NOTCH4,0,0,0,0,4,0,0,0,0,4
ZNF862,1,0,2,0,1,0,0,0,0,4
EVPL,0,0,0,0,3,0,0,1,0,4
ABCA1,0,0,0,0,4,0,0,0,0,4
ZBTB24,0,0,0,0,4,0,0,0,0,4
KMT2B,1,0,0,0,3,0,0,0,0,4
INTS7,1,0,0,0,2,1,0,0,0,4
RTEL1,0,0,1,0,2,0,0,1,0,4
KMT2A,0,0,0,0,4,0,0,0,0,4
KANSL1,0,0,1,0,3,0,0,0,0,4
WHAMM,0,0,0,0,4,0,0,0,0,4
JAG1,0,0,0,0,4,0,0,0,0,4
WDTC1,0,0,0,0,4,0,0,0,0,4
CHD6,0,0,0,0,2,1,0,1,0,4
CMYA5,0,1,0,0,3,0,0,0,0,4
ATAD2,0,0,0,0,3,1,0,0,0,4
ZZEF1,0,0,0,0,3,0,0,1,0,4
A2M,0,0,0,0,4,0,0,0,0,4
RNF31,0,0,0,0,4,0,0,0,0,4
DMXL1,0,0,0,0,4,0,0,0,0,4
SSRP1,0,0,0,0,4,0,0,0,0,4
LAMA2,0,0,0,0,4,0,0,0,0,4
MYO9B,0,0,0,0,4,0,0,0,0,4
YLPM1,0,0,0,0,3,1,0,0,0,4
IKZF3,0,0,0,0,3,0,0,1,0,4
ADAM19,0,0,0,0,4,0,0,0,0,4
ADORA3,0,0,0,0,3,1,0,0,0,4
HECTD4,0,0,0,0,3,1,0,0,0,4
TMEM2,0,0,0,0,3,1,0,0,0,4
XRN2,0,0,0,0,3,1,0,0,0,4
SSH2,0,0,0,0,4,0,0,0,0,4
FRYL,0,0,0,0,4,0,0,0,0,4
RERE,0,2,0,0,2,0,0,0,0,4
ZNF106,1,0,0,0,3,0,0,0,0,4
PELP1,0,0,0,0,4,0,0,0,0,4
SPTAN1,0,0,0,0,4,0,0,0,0,4
ACTN4,1,1,0,0,2,0,0,0,0,4
PLXNA1,0,0,0,0,4,0,0,0,0,4
RIF1,0,0,0,0,3,1,0,0,0,4
NEURL1B,0,0,0,0,4,0,0,0,0,4
DLG5,0,0,0,0,3,1,0,0,0,4
DGKQ,0,0,1,0,3,0,0,0,0,4
VPS72,0,0,0,0,4,0,0,0,0,4
SBNO2,0,0,1,0,2,1,0,0,0,4
HERC2,0,0,0,0,4,0,0,0,0,4
PHLDB2,0,0,0,0,4,0,0,0,0,4
AKAP9,0,2,0,0,2,0,0,0,0,4
AKNA,0,0,0,0,3,1,0,0,0,4
NUP205,0,0,0,0,4,0,0,0,0,4
CACTIN,1,0,0,0,3,0,0,0,0,4
AKAP13,0,0,0,0,4,0,0,0,0,4
RUNX2,0,0,0,0,4,0,0,0,0,4
SZT2,0,0,0,0,4,0,0,0,0,4
FAM193A,1,0,0,0,3,0,0,0,0,4
AGO2,0,0,0,0,4,0,0,0,0,4
TAB3,0,0,0,0,2,2,0,0,0,4
COL4A1,0,0,0,0,4,0,0,0,0,4
NUFIP2,0,0,0,0,4,0,0,0,0,4
GALNT2,0,0,0,0,4,0,0,0,0,4
NOTCH2,2,0,0,0,1,0,0,1,0,4
AHCTF1,1,0,0,0,3,0,0,0,0,4
LILRB4,0,0,0,0,4,0,0,0,0,4
NES,0,0,0,0,4,0,0,0,0,4
KALRN,0,0,0,0,4,0,0,0,0,4
TONSL,0,0,0,0,3,1,0,0,0,4
IFT140,0,0,1,0,3,0,0,0,0,4
TNC,0,0,0,0,2,2,0,0,0,4
FLT1,0,0,0,0,4,0,0,0,0,4
SLIT1,0,0,0,0,3,0,0,0,0,3
JAG2,1,0,0,0,2,0,0,0,0,3
PRKAR2B,0,0,0,0,2,0,0,1,0,3
LRRC8D,0,0,0,0,2,1,0,0,0,3
CASD1,0,0,0,0,2,1,0,0,0,3
ITPKC,0,0,0,0,3,0,0,0,0,3
SMARCA2,0,0,0,0,2,1,0,0,0,3
PVRL2,0,0,0,0,3,0,0,0,0,3
PVRL1,0,0,0,1,2,0,0,0,0,3
PIK3C2B,0,0,0,0,3,0,0,0,0,3
ITPR2,0,0,0,0,2,0,0,1,0,3
BAZ2B,0,0,0,0,3,0,0,0,0,3
PIK3C2A,0,0,0,0,3,0,0,0,0,3
JMJD6,0,0,0,0,3,0,0,0,0,3
IQSEC2,0,0,0,0,3,0,0,0,0,3
ATR,0,0,0,0,2,1,0,0,0,3
CTNNB1,0,0,0,0,3,0,0,0,0,3
PTCD3,0,0,0,0,2,0,0,1,0,3
SPTBN1,1,0,0,0,1,1,0,0,0,3
IP6K1,0,0,0,0,3,0,0,0,0,3
SPTLC1,0,0,0,0,3,0,0,0,0,3
MLLT10,0,0,0,0,3,0,0,0,0,3
SRF,1,0,0,0,2,0,0,0,0,3
CTCF,1,0,0,0,1,0,0,1,0,3
SRGAP1,0,0,0,0,3,0,0,0,0,3
METTL13,0,0,0,0,3,0,0,0,0,3
MLLT6,0,0,0,0,3,0,0,0,0,3
LYST,0,0,0,0,3,0,0,0,0,3
SSH3,0,0,0,0,3,0,0,0,0,3
STAG2,0,0,0,0,0,2,0,1,0,3
PHF2,0,0,0,0,2,1,0,0,0,3
INSR,0,0,0,0,3,0,0,0,0,3
DNAAF2,0,0,0,0,2,1,0,0,0,3
PRRC2B,0,0,0,0,3,0,0,0,0,3
INPPL1,0,0,1,0,2,0,0,0,0,3
DNAH1,0,0,0,0,2,1,0,0,0,3
ATN1,1,0,0,0,2,0,0,0,0,3
CD93,0,0,0,0,3,0,0,0,0,3
PHIP,0,0,1,0,2,0,0,0,0,3
SMG1,0,0,0,0,3,0,0,0,0,3
ITPK1,0,1,0,0,1,0,0,1,0,3
LRRFIP1,0,0,0,0,3,0,0,0,0,3
PIGG,0,0,0,0,3,0,0,0,0,3
ITGB5,0,0,0,0,3,0,0,0,0,3
DHX8,0,0,0,0,2,1,0,0,0,3
ITGB4,0,0,0,0,3,0,0,0,0,3
DIAPH2,0,0,0,0,2,1,0,0,0,3
LRRK1,0,0,0,0,3,0,0,0,0,3
CTTN,0,0,0,0,1,0,0,2,0,3
PTPRS,0,0,0,0,3,0,0,0,0,3
ATXN1,0,1,0,0,2,0,0,0,0,3
CCDC120,0,0,0,0,3,0,0,0,0,3
DIP2A,0,0,0,0,3,0,0,0,0,3
ITGA4,0,0,0,0,3,0,0,0,0,3
SON,0,0,0,0,3,0,0,0,0,3
SORT1,0,0,0,0,3,0,0,0,0,3
PI4KA,0,0,0,0,3,0,0,0,0,3
LTBP4,0,0,0,0,3,0,0,0,0,3
ISG20L2,0,0,0,0,3,0,0,0,0,3
PTOV1,0,0,1,0,2,0,0,0,0,3
IRS2,0,0,0,0,3,0,0,0,0,3
DISP1,0,0,0,0,3,0,0,0,0,3
CTC1,0,0,0,0,3,0,0,0,0,3
PIAS3,1,0,0,0,2,0,0,0,0,3
MCL1,0,0,0,0,3,0,0,0,0,3
MCM4,0,0,0,0,3,0,0,0,0,3
MCM6,0,0,0,0,3,0,0,0,0,3
PLXND1,0,0,0,0,3,0,0,0,0,3
KIFC2,0,0,0,0,3,0,0,0,0,3
SAMD9,0,0,0,0,3,0,0,0,0,3
MAPK8,0,0,0,0,2,0,0,1,0,3
MCM9,0,0,0,0,3,0,0,0,0,3
KIF5B,0,0,0,0,2,1,0,0,0,3
DDR1,0,0,0,0,3,0,0,0,0,3
PLXNB2,0,0,0,0,3,0,0,0,0,3
KIF1B,0,0,0,0,3,0,0,0,0,3
SBF1,1,0,0,0,2,0,0,0,0,3
CSPP1,0,0,0,1,1,0,0,1,0,3
KIF13A,0,0,0,0,3,0,0,0,0,3
SCAF11,0,0,0,0,2,1,0,0,0,3
KIF11,0,0,0,0,3,0,0,0,0,3
MAPK15,0,0,0,0,3,0,0,0,0,3
SCMH1,0,0,0,0,3,0,0,0,0,3
SCRIB,1,0,0,0,2,0,0,0,0,3
SCUBE2,0,0,0,0,3,0,0,0,0,3
PLS1,0,0,0,0,2,1,0,0,0,3
CSF1R,0,0,0,0,3,0,0,0,0,3
C11orf30,0,0,0,0,3,0,0,0,0,3
LMTK2,0,0,0,0,3,0,0,0,0,3
SEC24D,0,0,0,0,3,0,0,0,0,3
PLK3,0,0,0,0,3,0,0,0,0,3
KIF13B,0,0,0,0,3,0,0,0,0,3
LDLRAD3,0,0,0,0,3,0,0,0,0,3
LCP2,0,0,0,0,3,0,0,0,0,3
MARK4,0,0,0,0,3,0,0,0,0,3
DAPK1,0,0,0,0,2,0,0,1,0,3
LENG8,0,0,0,0,3,0,0,0,0,3
RGPD4,0,0,0,0,3,0,0,0,0,3
MBD1,0,0,0,0,2,1,0,0,0,3
CRK,0,0,0,0,3,0,0,0,0,3
C5AR1,0,0,0,0,3,0,0,0,0,3
LAMB1,0,0,0,0,3,0,0,0,0,3
POLR2A,0,0,0,0,3,0,0,0,0,3
LEPR,0,0,0,0,3,0,0,0,0,3
LAMA4,0,0,0,0,3,0,0,0,0,3
KLHL5,0,0,0,0,3,0,0,0,0,3
PPIP5K1,0,0,0,0,3,0,0,0,0,3
REXO1,0,0,0,0,3,0,0,0,0,3
MBD6,0,0,0,0,2,1,0,0,0,3
CRIM1,0,0,0,0,3,0,0,0,0,3
PPL,0,0,0,0,3,0,0,0,0,3
RPL5,0,0,0,0,2,0,0,1,0,3
RPL7,0,0,0,0,3,0,0,0,0,3
POGZ,0,0,0,0,3,0,0,0,0,3
CABIN1,0,0,0,0,3,0,0,0,0,3
RRAGC,0,0,0,0,2,0,0,1,0,3
MAPKAPK2,0,0,0,0,3,0,0,0,0,3
RSAD1,0,0,0,0,3,0,0,0,0,3
DCTN1,0,0,0,0,3,0,0,0,0,3
RECQL5,0,0,0,0,3,0,0,0,0,3
DCAF13,0,0,0,0,1,2,0,0,0,3
CSNK1A1L,0,0,0,0,3,0,0,0,0,3
RAI1,0,0,0,0,2,1,0,0,0,3
MEGF6,0,1,0,0,2,0,0,0,0,3
DEPDC1,0,0,0,0,3,0,0,0,0,3
MAP2K7,0,0,0,0,3,0,0,0,0,3
BMPR2,0,0,0,0,3,0,0,0,0,3
CPE,0,0,0,0,2,1,0,0,0,3
SLAIN2,0,0,0,0,3,0,0,0,0,3
CPAMD8,0,0,0,0,2,0,0,1,0,3
LRRC56,0,0,0,0,3,0,0,0,0,3
PKD2,0,0,0,0,3,0,0,0,0,3
PKD1,0,0,0,0,3,0,0,0,0,3
PJA1,0,0,0,0,3,0,0,0,0,3
SELPLG,0,0,1,0,2,0,0,0,0,3
BICD2,0,0,0,0,3,0,0,0,0,3
SLC25A13,0,0,0,0,3,0,0,0,0,3
CP,0,0,0,0,3,0,0,0,0,3
KAT6A,0,0,0,0,3,0,0,0,0,3
KAT2B,0,0,0,0,3,0,0,0,0,3
SLC39A10,0,0,0,0,3,0,0,0,0,3
SLC39A4,0,0,0,0,3,0,0,0,0,3
MAP1S,1,0,0,0,2,0,0,0,0,3
CD163L1,0,0,0,0,3,0,0,0,0,3
BCOR,0,0,0,0,3,0,0,0,0,3
QRICH2,0,0,0,0,2,1,0,0,0,3
BCL9L,0,0,0,0,3,0,0,0,0,3
JMJD8,1,0,0,0,2,0,0,0,0,3
BCL6,1,0,0,0,2,0,0,0,0,3
KAZN,0,0,0,0,3,0,0,0,0,3
SEMA4C,1,0,0,0,2,0,0,0,0,3
SEMA7A,0,0,0,0,3,0,0,0,0,3
SENP7,0,0,0,0,2,1,0,0,0,3
DDX50,0,0,0,0,3,0,0,0,0,3
SETD1A,0,0,0,0,3,0,0,0,0,3
RB1CC1,0,0,0,0,3,0,0,0,0,3
MED16,0,0,0,0,3,0,0,0,0,3
PLEKHM2,1,0,0,0,2,0,0,0,0,3
SETX,0,0,0,0,3,0,0,0,0,3
RB1,1,0,0,0,2,0,0,0,0,3
SF3B1,0,0,1,0,2,0,0,0,0,3
BRWD3,0,0,0,0,2,1,0,0,0,3
CCDC28A,1,0,0,0,1,1,0,0,0,3
SHPRH,0,0,0,0,3,0,0,0,0,3
BRPF3,0,0,0,0,3,0,0,0,0,3
MEF2A,0,0,0,0,3,0,0,0,0,3
KIAA0319L,0,0,0,0,3,0,0,0,0,3
KIAA0232,0,0,0,0,3,0,0,0,0,3
KIAA0196,0,0,0,0,2,1,0,0,0,3
LRBA,0,0,0,0,3,0,0,0,0,3
LRIG1,1,0,0,0,0,2,0,0,0,3
SH3TC1,0,0,0,0,2,1,0,0,0,3
LRP1,0,0,0,0,2,1,0,0,0,3
SHANK3,0,0,0,0,3,0,0,0,0,3
DENND4B,0,0,0,0,3,0,0,0,0,3
DENND4C,1,0,0,0,2,0,0,0,0,3
BRD1,0,0,0,0,3,0,0,0,0,3
DENND5A,0,0,0,0,3,0,0,0,0,3
KIAA0391,0,0,0,0,3,0,0,0,0,3
VPS13A,0,0,0,0,2,0,0,1,0,3
VPS13D,0,0,0,0,3,0,0,0,0,3
GIMAP1,0,0,0,0,3,0,0,0,0,3
EIF2AK3,0,0,0,0,2,1,0,0,0,3
VPS8,0,0,0,0,3,0,0,0,0,3
EIF2AK4,0,0,0,0,3,0,0,0,0,3
NUP160,0,1,0,0,1,0,0,1,0,3
WDFY4,0,0,0,0,2,1,0,0,0,3
WDR26,0,0,0,0,2,1,0,0,0,3
GCDH,0,0,0,0,2,1,0,0,0,3
GCC1,1,0,0,0,2,0,0,0,0,3
GBP1,0,0,0,0,1,2,0,0,0,3
AHDC1,0,0,0,0,3,0,0,0,0,3
AGRN,1,0,0,0,2,0,0,0,0,3
GANAB,0,0,0,0,3,0,0,0,0,3
TSTA3,0,0,0,0,3,0,0,0,0,3
WDR81,0,0,0,0,3,0,0,0,0,3
GALNS,0,0,0,0,3,0,0,0,0,3
WIPI2,0,0,0,0,3,0,0,0,0,3
GAA,0,0,0,0,3,0,0,0,0,3
WNK1,1,0,0,0,2,0,0,0,0,3
WNK2,0,0,1,0,1,1,0,0,0,3
EIF4G1,0,0,0,0,3,0,0,0,0,3
AFF4,0,0,0,0,3,0,0,0,0,3
CHD8,0,0,0,0,3,0,0,0,0,3
CHD9,0,0,0,0,3,0,0,0,0,3
CNOT1,0,1,0,0,2,0,0,0,0,3
XRN1,0,0,0,0,3,0,0,0,0,3
MYOF,0,0,0,0,3,0,0,0,0,3
FOXJ3,0,0,0,0,3,0,0,0,0,3
FNIP2,0,0,0,0,3,0,0,0,0,3
AGO1,0,0,0,0,3,0,0,0,0,3
E2F6,0,0,0,0,3,0,0,0,0,3
ANKMY1,0,0,0,0,3,0,0,0,0,3
MUC1,1,0,0,0,2,0,0,0,0,3
TTLL4,0,0,0,0,2,1,0,0,0,3
MUC5B,0,0,0,0,3,0,0,0,0,3
GRB7,0,0,0,0,3,0,0,0,0,3
UBAP2,0,0,0,0,3,0,0,0,0,3
CEP192,1,0,0,0,2,0,0,0,0,3
GPRASP2,0,0,0,0,2,1,0,0,0,3
EDEM3,0,0,0,0,3,0,0,0,0,3
UBR1,0,0,0,0,3,0,0,0,0,3
UBR2,0,0,0,0,2,1,0,0,0,3
COBLL1,0,0,0,0,3,0,0,0,0,3
CEP350,0,0,0,0,3,0,0,0,0,3
UFL1,0,0,0,0,3,0,0,0,0,3
NUP62,0,0,0,0,3,0,0,0,0,3
EHMT1,0,0,0,0,2,1,0,0,0,3
VAV3,0,0,0,0,2,0,0,1,0,3
VAV2,0,0,0,0,3,0,0,0,0,3
CNST,0,0,0,0,3,0,0,0,0,3
CFH,0,0,0,0,3,0,0,0,0,3
MYH10,0,0,0,0,2,0,0,1,0,3
CES2,0,0,0,0,3,0,0,0,0,3
GPR125,0,0,0,0,2,1,0,0,0,3
GOLGA3,0,0,0,0,3,0,0,0,0,3
USP34,0,0,0,0,2,0,0,1,0,3
GOLGA4,0,0,0,0,3,0,0,0,0,3
GOLGB1,0,0,0,0,3,0,0,0,0,3
GON4L,0,0,0,0,3,0,0,0,0,3
USP21,0,0,0,0,3,0,0,0,0,3
USP16,0,0,0,0,2,1,0,0,0,3
OPLAH,0,0,0,0,3,0,0,0,0,3
MYCBP2,0,0,0,0,3,0,0,0,0,3
NMD3,0,0,1,0,1,1,0,0,0,3
ZNF350,0,0,0,0,3,0,0,0,0,3
ACE,0,0,0,0,3,0,0,0,0,3
EPC2,0,0,0,0,3,0,0,0,0,3
CKAP5,0,0,0,0,3,0,0,0,0,3
NID2,0,0,0,0,3,0,0,0,0,3
NFX1,0,0,0,0,2,1,0,0,0,3
ZNF513,0,0,0,0,3,0,0,0,0,3
FAM200B,1,0,0,0,2,0,0,0,0,3
NCOR1,2,0,0,0,0,0,0,1,0,3
FAM188B,0,0,0,0,2,1,0,0,0,3
ZNF574,0,0,0,0,2,1,0,0,0,3
ZNF592,0,0,0,0,3,0,0,0,0,3
FAM179B,0,0,0,0,3,0,0,0,0,3
FAM160A2,0,0,0,0,3,0,0,0,0,3
ADNP,0,0,1,0,2,0,0,0,0,3
ETV3,0,0,0,1,2,0,0,0,0,3
EVC,0,0,0,0,3,0,0,0,0,3
EVI5L,0,0,0,0,3,0,0,0,0,3
ABCA2,0,0,0,0,3,0,0,0,0,3
ZNF813,0,0,0,0,2,1,0,0,0,3
ERBB3,0,0,0,0,3,0,0,0,0,3
EXT1,0,1,0,0,2,0,0,0,0,3
FAM120C,0,0,0,0,3,0,0,0,0,3
CLEC14A,0,0,0,0,3,0,0,0,0,3
ABCC1,0,0,0,0,3,0,0,0,0,3
ZNF746,1,0,0,0,2,0,0,0,0,3
NEURL4,0,0,0,0,2,1,0,0,0,3
NFASC,0,0,0,0,2,1,0,0,0,3
F8,0,1,0,0,2,0,0,0,0,3
ABCG1,0,0,0,0,2,0,0,1,0,3
FAM120A,1,0,0,0,2,0,0,0,0,3
ERBB2,0,0,0,0,3,0,0,0,0,3
CHM,0,0,0,0,3,0,0,0,0,3
CHML,0,0,0,0,3,0,0,0,0,3
ZAP70,0,0,0,0,2,1,0,0,0,3
NSD1,0,0,0,0,3,0,0,0,0,3
EMC3,0,0,0,0,2,0,0,1,0,3
FLT3LG,0,0,0,0,3,0,0,0,0,3
ADAT3,0,0,0,0,3,0,0,0,0,3
ZBTB41,1,0,0,0,2,0,0,0,0,3
